frame,phase,left_vx_wrist,left_vy_wrist,left_vz_wrist,left_nx_palm,left_ny_palm,left_nz_palm,left_dx_path,left_dy_path,left_dz_path,right_vx_wrist,right_vy_wrist,right_vz_wrist,right_nx_palm,right_ny_palm,right_nz_palm,right_dx_path,right_dy_path,right_dz_path,right_x_0,right_y_0,right_z_0,right_x_1,right_y_1,right_z_1,right_x_2,right_y_2,right_z_2,right_x_3,right_y_3,right_z_3,right_x_4,right_y_4,right_z_4,right_x_5,right_y_5,right_z_5,right_x_6,right_y_6,right_z_6,right_x_7,right_y_7,right_z_7,right_x_8,right_y_8,right_z_8,right_x_9,right_y_9,right_z_9,right_x_10,right_y_10,right_z_10,right_x_11,right_y_11,right_z_11,right_x_12,right_y_12,right_z_12,right_x_13,right_y_13,right_z_13,right_x_14,right_y_14,right_z_14,right_x_15,right_y_15,right_z_15,right_x_16,right_y_16,right_z_16,right_x_17,right_y_17,right_z_17,right_x_18,right_y_18,right_z_18,right_x_19,right_y_19,right_z_19,right_x_20,right_y_20,right_z_20
12,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014109760522842407,-0.023812174797058105,4.6457074631689466e-08,0.6156692504882812,0.059995900839567184,-0.7857174873352051,0.0,0.0,0.0,0.0,0.0,0.0,0.09387215226888657,-0.1255800873041153,-0.002215552143752575,0.12659025192260742,-0.334871381521225,0.007628694176673889,0.14079824090003967,-0.4632434844970703,0.009907886385917664,0.156218022108078,-0.5608314275741577,0.011416218243539333,0.09443178027868271,-0.5158538222312927,0.03460484370589256,0.11311299353837967,-0.6935845613479614,0.013879325240850449,0.12950004637241364,-0.8201311826705933,-0.010197147727012634,0.14256402850151062,-0.9318186044692993,-0.02890169247984886,0.06244833022356033,-0.5243021845817566,0.014290946535766125,0.0833396166563034,-0.7195350527763367,-0.005821007303893566,0.10293294489383698,-0.8602473735809326,-0.031166765838861465,0.12064111977815628,-0.9914441108703613,-0.049842432141304016,0.028361191973090172,-0.5081129670143127,-0.01239907555282116,0.05193442106246948,-0.6973026394844055,-0.03547241911292076,0.07486516982316971,-0.8287671208381653,-0.05427445471286774,0.09356512874364853,-0.9490492343902588,-0.06661535799503326,-0.006804754491895437,-0.473347544670105,-0.04147596284747124,0.01869996078312397,-0.6357338428497314,-0.06185021996498108,0.04087718576192856,-0.7463057041168213,-0.07092950493097305,0.06166539341211319,-0.8463586568832397,-0.0771414041519165
13,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015745967626571655,-0.012512236833572388,-2.2653054543297912e-08,0.6383094787597656,0.06984744220972061,-0.766604483127594,0.015745967626571655,-0.012512236833572388,-2.2653054543297912e-08,0.0,0.0,0.0,0.09318850189447403,-0.1148843765258789,-0.0014390446012839675,0.12625592947006226,-0.3124156594276428,0.0077680121175944805,0.13953088223934174,-0.4437178671360016,0.009136187843978405,0.15478754043579102,-0.54503333568573,0.010670599527657032,0.1016872376203537,-0.5017309188842773,0.03895530104637146,0.12380337715148926,-0.6837347745895386,0.01973021775484085,0.1416798233985901,-0.812614917755127,-0.0030404492281377316,0.15539813041687012,-0.9274413585662842,-0.02084224857389927,0.07395254820585251,-0.5172833204269409,0.01860278658568859,0.09944422543048859,-0.7167405486106873,0.0007083898526616395,0.12151752412319183,-0.8576082587242126,-0.022314008325338364,0.14151814579963684,-0.9891407489776611,-0.0396636426448822,0.042654696851968765,-0.5139147043228149,-0.008301098830997944,0.07073403894901276,-0.7072964906692505,-0.028644990175962448,0.09642894566059113,-0.8365110754966736,-0.04473225399851799,0.11854495853185654,-0.9533364772796631,-0.05518658831715584,0.008799383416771889,-0.49604228138923645,-0.037869010120630264,0.03829590976238251,-0.6622549295425415,-0.05500645935535431,0.06380501389503479,-0.769353985786438,-0.06169208139181137,0.08851952105760574,-0.8629825115203857,-0.06626909226179123
14,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010873675346374512,-0.0073303282260894775,-1.5504710404457e-08,0.625497043132782,0.07062909752130508,-0.777023196220398,0.026619642972946167,-0.019842565059661865,-3.815776494775491e-08,0.0,0.0,0.0,0.088597372174263,-0.0974855050444603,-0.0003687608696054667,0.12953004240989685,-0.3016507029533386,0.012803933583199978,0.14858749508857727,-0.42912596464157104,0.018276678398251534,0.16329696774482727,-0.5252814292907715,0.02427351288497448,0.11325570195913315,-0.502284049987793,0.04551374539732933,0.14195415377616882,-0.6801701188087463,0.03075956553220749,0.16266314685344696,-0.8084547519683838,0.010495828464627266,0.17647628486156464,-0.919249951839447,-0.005612972658127546,0.08679471164941788,-0.5226827263832092,0.02554638683795929,0.11730046570301056,-0.7213003039360046,0.01269513089209795,0.14193449914455414,-0.8595476746559143,-0.007150064688175917,0.16345928609371185,-0.9862974286079407,-0.02232760563492775,0.05456383153796196,-0.5226196646690369,-0.0013536206679418683,0.08810524642467499,-0.7156904339790344,-0.017596006393432617,0.11593560129404068,-0.8395941853523254,-0.031304359436035156,0.13933049142360687,-0.95234614610672,-0.04041288048028946,0.018644219264388084,-0.5073024034500122,-0.031103847548365593,0.05524230748414993,-0.6732166409492493,-0.04541471600532532,0.08292386680841446,-0.7768831849098206,-0.05020328238606453,0.10972409695386887,-0.8687267303466797,-0.0536075085401535
15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008173555135726929,0.00019231438636779785,-3.985057617228449e-09,0.6651214361190796,0.07505910098552704,-0.742953360080719,0.034793198108673096,-0.019650250673294067,-4.214282256498336e-08,0.0,0.0,0.0,0.08936163783073425,-0.09775138646364212,0.0016106070252135396,0.12906323373317719,-0.2956084907054901,0.015536470338702202,0.1457662135362625,-0.4230140447616577,0.020885832607746124,0.1598031371831894,-0.5110382437705994,0.026791784912347794,0.11272358149290085,-0.5008308291435242,0.050316695123910904,0.14447228610515594,-0.6839717626571655,0.03604826331138611,0.16950491070747375,-0.8115161657333374,0.016124233603477478,0.18560555577278137,-0.9230339527130127,0.00045158638386055827,0.08735351264476776,-0.5234717726707458,0.028593961149454117,0.12253325432538986,-0.7223183512687683,0.014927524141967297,0.15132670104503632,-0.8592678904533386,-0.005550568923354149,0.1753266155719757,-0.9842984080314636,-0.020428258925676346,0.057127971202135086,-0.5281223654747009,-0.0001853898720582947,0.0936792716383934,-0.7256208062171936,-0.017521517351269722,0.1247033104300499,-0.8517287373542786,-0.03206847608089447,0.15063144266605377,-0.9631161093711853,-0.04074768349528313,0.02312815934419632,-0.5193600654602051,-0.031764667481184006,0.061007462441921234,-0.6925522685050964,-0.04630723595619202,0.09071481227874756,-0.8002470135688782,-0.05140592157840729,0.12055765837430954,-0.8925899863243103,-0.05462368205189705
16,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005548655986785889,0.0001112222671508789,-4.4636294660449494e-10,0.6432445645332336,0.0816175788640976,-0.7612982392311096,0.040341854095458984,-0.01953902840614319,-4.258918551158786e-08,0.0,0.0,0.0,0.08837535232305527,-0.08781731128692627,0.0010745673207566142,0.13082484900951385,-0.2788364589214325,0.012786570936441422,0.14930692315101624,-0.4028666615486145,0.016416804865002632,0.1682804971933365,-0.498797208070755,0.02106424607336521,0.11983244866132736,-0.49432340264320374,0.04825453460216522,0.15684011578559875,-0.6745789051055908,0.033379215747117996,0.1839647889137268,-0.7967343330383301,0.013384295627474785,0.2009643167257309,-0.9024460911750793,-0.0016913937870413065,0.09500867128372192,-0.5216292142868042,0.027492176741361618,0.13371682167053223,-0.7235072255134583,0.015082837082445621,0.16294816136360168,-0.8587812781333923,-0.0038112050388008356,0.1862313151359558,-0.9823501110076904,-0.017497774213552475,0.06522585451602936,-0.5316158533096313,-0.0001886205282062292,0.10533004999160767,-0.7316541075706482,-0.014600414782762527,0.13611845672130585,-0.8579137921333313,-0.026662493124604225,0.16154947876930237,-0.9713865518569946,-0.034096114337444305,0.030436808243393898,-0.5258927345275879,-0.03066312149167061,0.06889745593070984,-0.6954649090766907,-0.04183189943432808,0.09886372089385986,-0.8009495735168457,-0.044196102768182755,0.12873899936676025,-0.8941108584403992,-0.0454493872821331
17,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0041664838790893555,0.001834869384765625,1.049471620717668e-10,0.6239489316940308,0.08328113704919815,-0.7770147919654846,0.04450833797454834,-0.017704159021377563,-4.248423834951609e-08,0.0,0.0,0.0,0.0887622982263565,-0.08453871309757233,-0.002995647257193923,0.13372226059436798,-0.2767750322818756,0.007700589019805193,0.1536061316728592,-0.40998923778533936,0.010929557494819164,0.1720697581768036,-0.5189321637153625,0.015522027388215065,0.12466101348400116,-0.4924249053001404,0.047325219959020615,0.16377517580986023,-0.6721140742301941,0.03234346956014633,0.1904096156358719,-0.7966715693473816,0.012463485822081566,0.20478790998458862,-0.9066619873046875,-0.002371955895796418,0.10083524882793427,-0.5214186310768127,0.028314126655459404,0.14347848296165466,-0.722443699836731,0.015022484585642815,0.17330500483512878,-0.8566398620605469,-0.0035276419948786497,0.1946990042924881,-0.9807268977165222,-0.016338065266609192,0.0710047259926796,-0.5329103469848633,0.0017756251618266106,0.11601244658231735,-0.7327072620391846,-0.013386695645749569,0.14749549329280853,-0.8611995577812195,-0.02531418390572071,0.1715223640203476,-0.9781202077865601,-0.032079245895147324,0.03587091341614723,-0.5299909114837646,-0.028000274673104286,0.07800977677106857,-0.7028053402900696,-0.03977913782000542,0.1102522611618042,-0.8107635974884033,-0.042520277202129364,0.14151278138160706,-0.9066647291183472,-0.04353993013501167
18,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001878291368484497,0.0004074275493621826,-9.371998288543182e-09,0.6317600607872009,0.09520342946052551,-0.7692955136299133,0.04638662934303284,-0.01729673147201538,-5.185623663805927e-08,0.0,0.0,0.0,0.09120533615350723,-0.07922860980033875,0.001067033619619906,0.13826815783977509,-0.27507883310317993,0.015127812512218952,0.15978391468524933,-0.40769898891448975,0.02135496959090233,0.18134091794490814,-0.507175624370575,0.028344707563519478,0.13250336050987244,-0.48493555188179016,0.04880153015255928,0.1711791455745697,-0.6650309562683105,0.03630784526467323,0.19614635407924652,-0.7896818518638611,0.018088586628437042,0.20813171565532684,-0.8995852470397949,0.0038224095478653908,0.10928959399461746,-0.5145028829574585,0.0282550398260355,0.15375427901744843,-0.7162082195281982,0.01614934206008911,0.1825493425130844,-0.8536404371261597,-0.002496087923645973,0.201559916138649,-0.9793506860733032,-0.015679260715842247,0.07924171537160873,-0.5251937508583069,0.0008783363737165928,0.12656177580356598,-0.7250824570655823,-0.013694070279598236,0.15776608884334564,-0.8580847978591919,-0.027748100459575653,0.18032777309417725,-0.9789617657661438,-0.036597464233636856,0.04291249066591263,-0.5203944444656372,-0.02916036918759346,0.0869961753487587,-0.6912150979042053,-0.041611526161432266,0.11946045607328415,-0.80025714635849,-0.04629627615213394,0.1507529616355896,-0.8983559608459473,-0.04918496310710907
19,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008630454540252686,0.0005478262901306152,-8.373035598197021e-10,0.6777382493019104,0.10404029488563538,-0.7279055118560791,0.047249674797058105,-0.016748905181884766,-5.2693540197878974e-08,0.0,0.0,0.0,0.090421661734581,-0.08049605041742325,0.0016848706873133779,0.13219216465950012,-0.273081511259079,0.014231338165700436,0.15146879851818085,-0.4054358899593353,0.018879961222410202,0.1737210750579834,-0.5101602673530579,0.024702683091163635,0.1254652738571167,-0.47806236147880554,0.04848826304078102,0.16290874779224396,-0.65552818775177,0.03461458906531334,0.18753807246685028,-0.7817736268043518,0.015549849718809128,0.20012380182743073,-0.894055187702179,0.0005036192014813423,0.103660948574543,-0.5084384083747864,0.027213003486394882,0.14763621985912323,-0.7102097272872925,0.014112052507698536,0.17591488361358643,-0.851167619228363,-0.005295146256685257,0.19533149898052216,-0.9805448651313782,-0.019428132101893425,0.07618842273950577,-0.5202639102935791,-0.0007900518248789012,0.12383554875850677,-0.7192751169204712,-0.01623106375336647,0.1544293314218521,-0.8524230122566223,-0.031002679839730263,0.17621484398841858,-0.97472083568573,-0.040471069514751434,0.04554130882024765,-0.5155477523803711,-0.03128517419099808,0.09241194278001785,-0.6812890768051147,-0.044307343661785126,0.12556318938732147,-0.787693202495575,-0.04960371181368828,0.15649916231632233,-0.8843539953231812,-0.05300786346197128
20,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.867548942565918e-05,-0.001173853874206543,7.558409009789102e-09,0.6603173613548279,0.09985806792974472,-0.7443180084228516,0.047150999307632446,-0.01792275905609131,-4.513513118808987e-08,0.0,0.0,0.0,0.08924463391304016,-0.07537281513214111,0.0005120732239447534,0.13181576132774353,-0.2675073444843292,0.01310803834348917,0.15171517431735992,-0.399442195892334,0.018358254805207253,0.1740020513534546,-0.5036179423332214,0.024658525362610817,0.12424422800540924,-0.4763343334197998,0.046317290514707565,0.16239094734191895,-0.6502472162246704,0.032465677708387375,0.18730567395687103,-0.7771998047828674,0.013372265733778477,0.2000724822282791,-0.8894321322441101,-0.0017622908344492316,0.10272246599197388,-0.5063319206237793,0.02587009221315384,0.14748266339302063,-0.7074939012527466,0.012901430018246174,0.1754249781370163,-0.849934995174408,-0.00666643725708127,0.19434098899364471,-0.9807071089744568,-0.021097566932439804,0.07488656789064407,-0.5172103047370911,-0.0011914914939552546,0.12364228069782257,-0.7148533463478088,-0.017032448202371597,0.1546877920627594,-0.8480495810508728,-0.03247299790382385,0.17636136710643768,-0.971535325050354,-0.042512405663728714,0.042668264359235764,-0.5108121633529663,-0.03067791275680065,0.09033989906311035,-0.6747339367866516,-0.04450425133109093,0.12390124797821045,-0.7796859741210938,-0.05041074380278587,0.15466110408306122,-0.8764697313308716,-0.05431696027517319
21,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002101719379425049,2.1696090698242188e-05,1.6309940065184492e-08,0.6335559487342834,0.10585300624370575,-0.7664216160774231,0.0450492799282074,-0.017901062965393066,-2.882519112290538e-08,0.0,0.0,0.0,0.09035847336053848,-0.08025762438774109,-0.005286758299916983,0.13447439670562744,-0.26882362365722656,0.003295549424365163,0.15343372523784637,-0.4017171859741211,0.005022887606173754,0.17390497028827667,-0.5107751488685608,0.008062673732638359,0.12719310820102692,-0.467472106218338,0.040578991174697876,0.1659705936908722,-0.6404576301574707,0.02263886108994484,0.1921204924583435,-0.7670841813087463,0.0008627718198113143,0.20783455669879913,-0.8796433210372925,-0.015690878033638,0.10378453880548477,-0.49801817536354065,0.021475758403539658,0.14803102612495422,-0.6997193098068237,0.0036613447591662407,0.17756560444831848,-0.8453659415245056,-0.01871035061776638,0.19988839328289032,-0.9792158603668213,-0.03436439484357834,0.07497545331716537,-0.5093240141868591,-0.00490949209779501,0.12332049012184143,-0.707922101020813,-0.025275003165006638,0.15620210766792297,-0.8439012765884399,-0.04316138103604317,0.18100278079509735,-0.9685877561569214,-0.053922440856695175,0.042909182608127594,-0.5039849877357483,-0.034136511385440826,0.09226541221141815,-0.665769636631012,-0.05110965669155121,0.12762665748596191,-0.772986114025116,-0.059040166437625885,0.16056948900222778,-0.8722452521324158,-0.06391723453998566
